#start	end	weight
3640	51289	1
3640	122042	1
3640	339403	1
3640	59350	1
284217	3680	1
284217	3696	1
284217	3674	1
284217	3675	1
284217	3676	1
284217	3655	1
284217	3678	1
284217	3679	1
284217	22987	1
284217	22801	1
284217	3690	1
284217	3691	1
284217	3693	1
284217	9899	1
284217	3694	1
284217	3672	1
284217	3695	1
284217	3673	1
284217	960	1
284217	3685	1
284217	8516	1
284217	9900	1
284217	3688	1
284217	8515	1
284217	1605	1
284217	5747	1
121275	2788	1
121275	2774	1
121275	2782	1
121275	51764	1
3630	4233	1
3630	4893	1
3630	3265	1
3630	8471	1
3630	3480	1
3630	4804	1
3630	3815	1
3630	1436	1
3630	2324	1
3630	2322	1
3630	2321	1
3630	5159	1
3630	22808	1
3630	1956	1
3630	22800	1
3630	7010	1
3630	8660	1
3630	3791	1
3630	5156	1
3630	2066	1
3630	2264	1
3630	2065	1
3630	2263	1
3630	2064	1
3630	2261	1
3630	2260	1
3630	4914	1
3630	4915	1
3630	6237	1
3630	3643	1
3630	1969	1
3630	3645	1
3630	3667	1
3630	3845	1
2309	114907	1
2309	10370	1
2309	8698	1
2309	1263	1
2309	2592	1
2309	9140	1
2309	472	1
2309	595	1
2309	10733	1
2309	10018	1
2309	85417	1
2309	356	1
2309	1410	1
2309	3312	1
2309	5896	1
2309	5897	1
2309	5934	1
2309	11345	1
2309	9474	1
2309	8743	1
2309	92579	1
2309	1032	1
2309	1030	1
2309	1027	1
2309	1026	1
2309	5347	1
2309	5105	1
2309	604	1
2309	5106	1
2309	847	1
2309	1901	1
2309	4616	1
2309	891	1
2309	10912	1
2309	894	1
2309	3575	1
2309	6647	1
2309	6648	1
2309	9133	1
2309	3310	1
2309	23710	1
2309	26260	1
2309	3306	1
2309	10769	1
2309	3305	1
2309	3304	1
2309	664	1
2309	3303	1
2309	57818	1
2309	901	1
2309	10365	1
2309	11337	1
2309	1647	1
2309	2538	1
2308	114907	1
2308	8698	1
2308	1263	1
2308	9140	1
2308	472	1
2308	595	1
2308	10733	1
2308	10018	1
2308	85417	1
2308	356	1
2308	126129	1
2308	1375	1
2308	5896	1
2308	5897	1
2308	5934	1
2308	11345	1
2308	9474	1
2308	8743	1
2308	92579	1
2308	1032	1
2308	1030	1
2308	1027	1
2308	1026	1
2308	5347	1
2308	5105	1
2308	604	1
2308	5106	1
2308	847	1
2308	1901	1
2308	4616	1
2308	891	1
2308	10912	1
2308	894	1
2308	2203	1
2308	3575	1
2308	8789	1
2308	6648	1
2308	9133	1
2308	1374	1
2308	23710	1
2308	26260	1
2308	10769	1
2308	664	1
2308	57818	1
2308	901	1
2308	10365	1
2308	11337	1
2308	1647	1
2308	2538	1
4982	8600	-1
3651	3630	1
2	5624	-1
55578	285973	1
55578	79065	1
3643	5781	1
3643	8471	1
3643	2885	1
3643	1399	1
3643	1398	1
3643	57104	-1
3643	8503	1
3643	399694	1
3643	11145	1
3643	2549	1
3643	25759	1
3643	5295	1
3643	5296	1
3643	8660	1
3643	5330	1
3643	5331	1
3643	6464	1
3643	5332	1
3643	5290	1
3643	23236	1
3643	5291	1
3643	5293	1
3643	10603	1
3643	867	1
3643	53358	1
3643	868	1
3643	9846	1
3643	3667	1
3643	5604	1
3643	5605	1
3645	6654	1
3645	6655	1
4991	2788	1
4991	2774	1
4991	2782	1
4991	51764	1
4992	2788	1
4992	2774	1
4992	2782	1
4992	51764	1
3661	6373	1
3661	3442	1
3661	3441	1
3661	3440	1
3661	338376	1
3661	3439	1
3661	56832	1
3661	3456	1
3661	958	1
3661	4283	1
3661	3452	1
3661	3451	1
3661	3449	1
3661	3448	1
3661	3447	1
3661	3446	1
3661	3445	1
3661	3467	1
3661	941	1
3661	3444	1
3661	942	1
3661	3443	1
3661	3627	1
4993	2788	1
4993	2774	1
4993	2782	1
4993	51764	1
1000	1000	1
2331	7043	-1
2331	7040	-1
2331	7042	-1
2324	5295	1
2324	25759	1
2324	5296	1
2324	5330	1
2324	5331	1
2324	6464	1
2324	5332	1
2324	5290	1
2324	23236	1
2324	5291	1
2324	5293	1
2324	2885	1
2324	1399	1
2324	1398	1
2324	8503	1
2324	53358	1
2324	399694	1
2324	3667	1
2324	5747	1
2323	7010	1
2323	3791	1
2323	5156	1
2323	4233	1
2323	2066	1
2323	2264	1
2323	2065	1
2323	2263	1
2323	2064	1
2323	2261	1
2323	2260	1
2323	3480	1
2323	4804	1
2323	4914	1
2323	1436	1
2323	3815	1
2323	4915	1
2323	2324	1
2323	2322	1
2323	2321	1
2323	5159	1
2323	3643	1
2323	1969	1
2323	1956	1
2322	25759	1
2322	2885	1
2322	6464	1
2322	53358	1
2322	399694	1
2322	3667	1
2321	5295	1
2321	25759	1
2321	5296	1
2321	5330	1
2321	5331	1
2321	6464	1
2321	5332	1
2321	5290	1
2321	23236	1
2321	5291	1
2321	5293	1
2321	2885	1
2321	1399	1
2321	1398	1
2321	8503	1
2321	53358	1
2321	399694	1
2321	3667	1
2321	5747	1
4985	2773	1
4985	2771	1
4985	2770	1
3654	7189	1
3654	6885	1
3654	3551	1
3654	3665	1
3654	257397	1
3654	10454	1
