pathway_id	pathway_name	nodes
path:hsa00190	Oxidative phosphorylation	64077;5464;245972;245973;479;513;514;515;516;517;518;155066;51606;9114;9551;9550;521;522;523;525;526;527;528;529;8992;90423;127124;23545;51382;495;4508;496;4509;498;533;534;535;27068;537;539;10312;10476;10632;50617;9296;506;509
path:hsa00072	Synthesis and degradation of ketone bodies	64064;38;39;3155;56898;54511;622;3158;3157;5019
path:hsa01040	Biosynthesis of unsaturated fatty acids	641371;79966;6319;570;9415;3992;10965;122970;11332
path:hsa04672	Intestinal immune network for IgA production	4055;8174;959;8741;3600;23308;102723407;6370;56477;10673;6387;102723996;941;942;9020;3695;3676;7852;958;23495;608;3601;29851;5284;10803;2826;115650;940
path:hsa03460	Fanconi anemia pathway	3280;378708;55120;672;84126;675;2189;83990;22909;91442;8940;80233;201254;641;57599;79728;2177;2176;116028;2175;29089;9894;7398;7156;2188;2187;100526739;57697;545;2178;80010;55215;5888;4292;5889;5395;6117;6119;6118;29935
path:hsa04310	Wnt signaling pathway	122011;144165;6907;4609;343637;1452;54361;815;816;817;818;1488;1487;6932;6934;4772;80319;80326;1499;1387;4775;5880;5881;57680;5879;22943;5530;6500;5532;340419;5663;2033;5533;5534;5535;64321;6885;10023;51384;54894;7855;7976;8945;79718;5330;5331;5332;6423;6422;5566;5567;5568;11211;5582;23401;147111;6425;6424;5578;5579;4007;8607;51176;324;25805;90665;23500;56998;4040;89780;4041;6477;85409;595;11197;64840;85407;23291;8312;8313;7473;8321;7472;8322;7475;7474;5176;7477;8325;7476;8326;4089;7479;8323;7478;8324;7471;387;7484;7483;8454;23002;7480;7482;7481;10297;7157;23236;2932;84133;1855;27121;27123;1857;1856;166336;9350;1501;27130;50964;27101;51701;83439;284654;8061;84870;3725;59343;29964;81029;2535;57216;81839;894;5601;896;9978;5467;4316;4773;5599;9475;5602;4776;1457;2239;4919;6259;4920;1454;102800317;1460;1459;283106
path:hsa00071	Fatty acid degradation	23205;1579;126129;1376;1892;1375;51;10455;124;125;126;127;128;2639;8310;130;131;23305;1632;217;219;30;51703;33;2180;34;35;36;37;38;39;1374;3033;3032;3030;2182;81616;2181;1962;10449;223;224;501;284541
path:hsa04670	Leukocyte transendothelial migration	100506658;83593;11069;10411;137075;24146;9073;9071;9076;9074;9075;9080;53842;5295;5175;5296;6387;1495;5290;5291;5293;387;1003;1366;1365;1364;4633;4636;7122;3683;2909;394;1499;1496;51208;29119;83700;10627;49861;60;3689;93408;71;10398;5879;23562;4688;4689;9475;90952;7852;149461;7294;26285;50848;3383;6093;7070;2185;653361;29895;4478;3702;644672;5582;1536;1535;5335;10451;5578;5336;5579;7410;7412;4267;5906;5908;7409;2771;2770;58494;100132463;1432;58498;83692;8503;5010;7430;2773;10686;103910;5747;998;4318;5829;3684;3676;3688;9564;4313;1500;5603;6300;5600;5880;6494;4301
path:hsa04550	Signaling pathways regulating pluripotency of stem cells	4609;54361;6929;6926;5604;5605;4893;80326;1499;3572;83729;2247;5894;2264;2263;2261;2260;3480;3479;79923;6774;3265;51384;652;657;7855;7976;658;659;10000;11211;6657;5460;5462;5594;5595;324;207;208;8503;89780;8312;8313;8321;7473;5295;8322;7472;5296;4086;7475;4087;7474;4088;8325;7477;8326;7476;4089;8323;7479;8324;7478;5290;5291;7471;5293;7484;7483;4090;7480;4093;7482;7481;10297;9314;2932;130399;1855;1852;90;91;92;93;1857;1856;3716;3717;3718;3845;2885;1432;3976;3977;3626;3625;4838;3624;2535;81029;2103;6932;5600;6300;5603;3400;3398;3397;3399
path:hsa00630	Glyoxylate and dicarboxylate metabolism	6472;48;9380;6470;275;50;1738;54363;81888;2752;51179;283871;847;125061;4594;132158;4190;4191;1431;55902;5096;38;39;112817;5095;189;2731;2653;84532;84693
